序号,站点名称,所在设区市,所在县(市、区),流域,水系,水体,检测时间,水温(℃),pH,溶解氧(mg/L),浊度(NTU),电导率(uS/cm),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
7084,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 07,19.7,8.13,9.49,26.1,181.6,,,,
7085,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 08,19.9,8.28,9.26,23.9,182.8,1.0,0.06,0.051,1.07
7086,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 09,19.8,8.25,9.54,38.4,183.6,,,,
7087,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 10,19.7,8.29,9.68,40.5,183.7,,,,
7088,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 11,19.8,8.33,9.74,41.0,183.6,,,,
7089,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 12,20.3,8.42,9.48,28.9,184.3,1.0,0.06,0.081,0.87
7090,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 13,20.3,8.37,9.61,42.7,184.3,,,,
7091,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 14,19.9,8.22,9.42,25.1,184.1,,,,
7092,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 15,19.8,8.01,9.08,18.8,183.2,,,,
7093,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 16,20.2,7.94,8.68,12.1,182.7,1.1,0.06,0.022,1.09
7094,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 17,20.0,8.04,9.22,47.4,181.9,,,,
7095,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 18,19.6,8.28,9.86,40.2,181.9,,,,
7096,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 19,19.5,8.28,9.7,30.0,181.9,,,,
7097,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 20,19.9,8.33,9.33,22.3,181.8,1.0,0.07,0.068,1.0
7098,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 21,19.7,8.26,9.41,30.9,182.9,,,,
7099,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 22,19.2,8.24,9.79,33.4,183.4,,,,
7100,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-03 23,19.1,8.26,9.79,30.8,183.6,,,,
7101,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 00,19.6,8.27,9.4,24.0,183.3,0.9,0.07,0.061,0.97
7102,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 01,19.3,8.19,9.53,31.8,183.8,,,,
7103,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 02,18.9,8.18,9.69,30.0,184.6,,,,
7104,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 03,18.8,8.16,9.68,29.8,184.6,,,,
7105,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 04,19.3,8.2,9.21,22.3,183.7,0.9,0.07,0.058,0.9
7106,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 05,19.1,8.14,9.26,30.8,187.1,,,,
7107,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 06,18.8,8.15,9.61,39.7,188.7,,,,
7108,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 07,18.7,8.09,9.42,45.5,188.0,,,,
7109,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 08,19.3,8.02,8.82,25.4,187.1,0.9,0.07,0.062,0.95
7110,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 09,19.1,7.93,9.09,26.8,186.4,,,,
7111,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 10,18.9,7.86,9.0,23.7,186.1,,,,
7112,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 11,19.0,7.98,9.28,80.4,191.1,,,,
7113,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 12,19.5,8.19,9.12,52.2,191.1,0.9,0.07,0.109,1.0
7114,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 13,19.5,8.06,9.24,50.8,190.6,,,,
7115,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 14,19.2,7.92,9.02,36.3,190.7,,,,
7116,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 15,19.1,7.87,9.09,27.3,190.5,,,,
7117,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 16,19.5,8.22,9.24,71.2,188.5,1.0,0.07,0.12,0.84
7118,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 17,19.5,8.29,9.56,56.1,187.3,,,,
7119,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 18,19.1,8.37,9.84,46.1,185.7,,,,
7120,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 19,19.1,8.3,9.72,32.4,185.5,,,,
7121,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 20,19.6,7.88,8.48,16.6,185.8,1.1,0.08,0.074,0.97
7122,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 21,19.4,7.9,8.86,20.9,185.3,,,,
7123,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 22,19.0,7.82,8.86,19.7,186.5,,,,
7124,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-04 23,19.0,7.8,8.93,20.4,185.8,,,,
7125,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 00,19.5,7.83,8.49,32.0,185.1,1.1,0.09,0.08,1.02
7126,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 01,19.3,8.09,9.18,47.7,185.1,,,,
7127,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 02,18.9,8.06,9.31,37.2,186.6,,,,
7128,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 03,18.9,7.98,9.32,30.5,187.0,,,,
7129,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 04,19.4,7.8,8.3,18.2,185.9,1.0,0.09,0.063,0.92
7130,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 05,19.2,7.79,8.7,23.7,188.1,,,,
7131,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 06,18.9,7.96,9.3,56.2,191.7,,,,
7132,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 07,18.9,8.01,9.4,55.5,190.1,,,,
7133,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 08,19.2,8.06,8.81,35.9,187.2,1.0,0.07,0.091,0.97
7134,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 09,19.1,7.96,9.04,39.4,187.2,,,,
7135,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 10,19.0,8.03,9.25,57.1,189.2,,,,
7136,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 11,19.4,8.08,9.33,47.1,187.8,,,,
7137,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 12,19.5,8.11,9.57,44.3,187.0,1.0,0.08,0.053,1.16
7138,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 13,19.6,8.08,9.21,42.8,186.8,,,,
7139,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 14,19.5,8.08,9.45,48.9,185.9,,,,
7140,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 15,19.4,8.1,9.16,39.6,185.8,,,,
7141,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 16,19.6,8.12,8.99,31.5,185.5,1.2,0.08,0.099,0.89
7142,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 17,19.5,8.08,9.22,36.8,185.2,,,,
7143,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 18,19.4,8.11,9.41,35.2,184.5,,,,
7144,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 19,19.4,8.06,9.3,34.2,185.4,,,,
7145,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 20,19.7,8.06,8.79,28.8,184.6,1.0,0.09,0.086,0.82
7146,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 21,20.0,7.88,9.3,25.9,156.3,,,,
7147,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 22,20.4,7.77,9.6,16.3,129.4,,,,
7148,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-05 23,20.5,7.67,9.35,19.3,128.7,,,,
7149,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 00,19.7,8.02,8.86,30.5,183.9,1.2,0.08,0.074,0.83
7150,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 01,19.5,7.98,9.16,39.3,185.1,,,,
7151,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 02,19.4,7.98,9.23,42.4,186.1,,,,
7152,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 03,19.3,7.97,9.32,41.4,186.2,,,,
7153,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 04,19.5,7.96,8.68,33.3,186.6,1.1,0.08,0.097,0.84
7154,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 05,19.5,7.86,9.12,34.2,167.5,,,,
7155,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 06,19.7,7.76,8.94,33.2,165.8,,,,
7156,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 07,19.3,7.85,8.87,37.5,186.3,,,,
7157,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 08,19.4,7.9,8.41,32.5,187.9,1.0,0.12,0.078,0.9
7158,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 09,19.4,7.9,8.75,39.5,187.4,,,,
7159,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 10,19.4,7.91,8.97,38.5,186.9,,,,
7160,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 11,19.6,7.93,8.88,40.0,187.1,,,,
7161,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 12,19.7,7.97,8.6,36.9,187.6,0.9,0.08,0.09,0.9
7162,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 13,19.8,7.99,8.93,51.1,188.0,,,,
7163,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 14,19.9,8.01,9.14,55.6,189.0,,,,
7164,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 15,19.9,8.02,9.15,58.9,189.7,,,,
7165,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 16,20.2,8.15,8.86,47.9,189.4,1.0,0.08,0.117,0.9
7166,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 17,20.3,8.11,9.23,56.4,189.0,,,,
7167,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 18,20.3,8.12,9.37,56.2,188.8,,,,
7168,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 19,19.9,7.97,9.02,58.1,189.3,,,,
7169,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 20,19.7,7.94,8.52,46.2,189.7,1.0,0.08,0.129,0.73
7170,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 21,19.6,7.91,8.88,55.5,189.4,,,,
7171,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 22,19.6,7.92,9.05,54.6,189.5,,,,
7172,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-06 23,19.5,7.86,8.74,56.2,189.2,,,,
7173,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 00,19.6,7.91,8.6,41.6,189.0,1.0,0.07,0.116,0.76
7174,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 01,19.4,7.86,8.77,48.8,188.8,,,,
7175,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 02,19.4,7.84,8.89,48.2,188.8,,,,
7176,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 03,19.4,7.84,8.82,47.7,189.0,,,,
7177,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 04,19.5,7.82,8.16,37.3,189.0,1.0,0.07,0.102,0.79
7178,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 05,19.4,7.8,8.57,44.6,189.0,,,,
7179,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 06,19.4,7.81,8.69,44.9,189.0,,,,
7180,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 07,19.4,7.81,8.56,42.4,188.5,,,,
7181,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 08,19.6,7.83,8.16,37.6,188.9,1.0,0.06,0.104,0.97
7182,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 09,19.6,7.85,8.62,49.3,190.0,,,,
7183,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 10,19.7,7.9,8.98,51.4,189.6,,,,
7184,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 11,19.9,7.92,9.0,53.4,190.4,,,,
7185,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 12,20.1,7.94,8.53,43.5,191.2,1.1,0.08,0.108,0.9
7186,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 13,20.1,7.93,8.86,52.8,191.4,,,,
7187,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 14,20.3,7.97,9.06,51.1,190.2,,,,
7188,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 15,20.4,8.04,9.29,52.8,186.5,,,,
7189,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 16,20.6,7.91,8.48,25.6,186.9,1.0,0.08,0.097,0.91
7190,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 17,20.3,7.73,8.32,28.4,189.3,,,,
7191,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 18,20.0,7.74,8.48,34.7,190.7,,,,
7192,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 19,19.8,7.82,8.71,54.2,191.8,,,,
7193,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 20,19.9,7.87,8.33,42.4,191.1,0.9,0.1,0.116,0.96
7194,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 21,19.7,7.85,8.62,53.4,191.2,,,,
7195,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 22,19.7,7.87,8.88,50.4,190.2,,,,
7196,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-07 23,19.7,7.89,8.96,47.2,189.3,,,,
7197,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 00,19.9,7.91,8.51,36.8,189.1,1.0,0.07,0.111,0.76
7198,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 01,19.8,7.89,8.92,45.4,187.9,,,,
7199,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 02,19.8,7.9,9.12,45.7,189.0,,,,
7200,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 03,19.7,7.87,9.14,43.9,187.7,,,,
7201,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 04,19.9,7.8,8.38,24.8,186.7,1.0,0.07,0.099,0.93
7202,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 05,19.7,7.75,8.69,25.8,186.8,,,,
7203,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 06,19.5,7.83,9.04,48.2,190.8,,,,
7204,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 07,19.4,7.84,9.01,46.2,191.4,,,,
7205,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 08,19.6,7.84,8.58,36.2,192.0,1.0,0.06,0.102,1.04
7206,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 09,19.6,7.84,9.01,46.2,192.1,,,,
7207,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 10,19.6,7.87,9.17,46.8,191.7,,,,
7208,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 11,19.7,7.86,9.18,46.0,191.1,,,,
7209,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 12,20.0,7.92,8.64,36.5,191.6,1.1,0.06,0.105,0.97
7210,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 13,20.1,7.91,9.04,43.3,190.4,,,,
7211,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 14,20.1,7.97,9.2,41.6,190.0,,,,
7212,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 15,20.0,7.97,9.27,41.3,190.4,,,,
7213,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 16,20.3,8.01,8.87,33.4,190.8,1.1,0.06,0.109,0.86
7214,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 17,20.2,7.98,9.13,38.1,190.9,,,,
7215,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 18,20.0,7.97,9.27,42.1,190.7,,,,
7216,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 19,19.9,7.96,9.31,39.1,190.3,,,,
7217,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 20,20.0,7.92,8.7,30.9,190.4,1.3,0.09,0.106,0.77
7218,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 21,19.9,7.86,8.88,30.1,190.2,,,,
7219,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 22,19.7,7.76,8.66,25.1,190.1,,,,
7220,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-08 23,19.6,7.68,8.78,35.1,190.4,,,,
7221,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 00,19.8,7.87,8.65,31.0,190.2,1.1,0.08,0.093,0.94
7222,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 01,19.6,7.85,8.97,37.1,190.0,,,,
7223,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 02,19.4,7.85,9.15,35.9,189.9,,,,
7224,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 03,19.3,7.82,9.13,36.3,189.3,,,,
7225,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 04,19.6,7.81,8.57,28.1,189.6,1.1,0.08,0.084,0.97
7226,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 05,19.3,7.8,8.96,36.3,189.5,,,,
7227,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 06,19.1,7.79,9.1,34.1,190.7,,,,
7228,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 07,19.0,7.8,9.17,34.9,191.4,,,,
7229,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 08,19.3,7.8,8.64,28.9,191.1,0.9,0.07,0.083,1.08
7230,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 09,19.1,7.79,8.89,35.2,190.4,,,,
7231,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 10,19.0,7.81,9.19,36.4,191.3,,,,
7232,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 11,19.0,7.82,9.21,36.0,189.5,,,,
7233,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 12,19.3,7.82,8.53,28.4,190.4,1.0,0.07,0.084,1.02
7234,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 13,19.4,7.82,9.04,34.7,190.0,,,,
7235,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 14,19.2,7.85,9.27,33.5,190.4,,,,
7236,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 15,19.1,7.87,9.24,34.9,190.1,,,,
7237,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 16,19.6,7.89,8.8,27.1,190.5,0.9,0.07,0.083,0.94
7238,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 17,19.6,7.89,9.19,34.6,190.6,,,,
7239,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 18,19.4,7.91,9.36,33.2,190.4,,,,
7240,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 19,19.4,7.93,9.53,33.0,190.1,,,,
7241,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 20,19.5,7.89,9.04,28.1,190.2,1.0,0.07,0.085,0.9
7242,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 21,19.5,7.84,9.03,35.0,189.8,,,,
7243,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 22,19.6,7.76,9.63,22.4,147.1,,,,
7244,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-09 23,19.9,7.7,9.82,20.2,125.3,,,,
7245,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 00,19.4,7.73,8.43,25.6,186.7,1.0,0.07,0.082,0.92
7246,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 01,19.1,7.73,8.75,31.2,187.7,,,,
7247,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 02,18.8,7.76,9.11,31.2,189.0,,,,
7248,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 03,18.7,7.78,9.08,32.7,189.2,,,,
7249,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 04,19.1,7.78,8.51,25.1,189.9,0.9,0.07,0.075,0.99
7250,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 05,19.3,7.73,9.36,23.6,160.1,,,,
7251,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 06,19.2,7.7,9.3,25.7,156.5,,,,
7252,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 07,18.7,7.76,9.03,31.7,187.8,,,,
7253,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 08,19.0,7.79,8.55,26.7,190.1,1.0,0.06,0.064,1.07
7254,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 09,18.8,7.78,8.87,31.1,190.0,,,,
7255,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 10,18.7,7.8,9.22,33.4,189.6,,,,
7256,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 11,18.7,7.82,9.24,34.2,189.8,,,,
7257,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 12,19.1,7.81,8.5,24.7,189.9,1.0,0.07,0.069,0.76
7258,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 13,19.1,7.77,8.74,25.2,189.4,,,,
7259,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 14,18.9,7.66,8.57,24.7,189.4,,,,
7260,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 15,19.0,7.83,9.26,31.5,189.2,,,,
7261,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 16,19.9,8.06,9.2,25.1,188.3,1.3,0.07,0.066,0.98
7262,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 17,19.7,8.02,9.42,25.7,187.7,,,,
7263,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 18,19.4,8.01,9.65,27.3,182.4,,,,
7264,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 19,19.2,7.95,9.55,27.5,182.2,,,,
7265,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 20,19.5,7.81,8.65,23.8,184.8,1.2,0.07,0.077,0.93
7266,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 21,19.2,7.77,8.72,29.2,185.9,,,,
7267,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 22,18.8,7.75,8.88,28.3,187.2,,,,
7268,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-11-10 23,18.7,7.73,8.93,29.6,187.0,,,,
